Date,Notifying Member,Region Country,Product Covered,Keywords,Notification
20 Dec 2024,Brazil,All trading Partner,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS (HS code(s): 07); Environment. Health protection. Safety (ICS code(s): 13),Human health; Food safety; Maximum residue limits (MRLs),G/SPS/N/BRA/2364
03 Dec 2024,Brazil,All Trading Partner,Okra seeds (Abelmoschus esculentus,Adoption/publication/entry into force of reg.; Plant health; Seeds; Territory protection; Withdrawal of the measure; Territory protection; Seeds; Plant health,G/SPS/N/BRA/2180/Add.2
02 Dec 2024,Russia,All Trading Partner,"Live poultry, bird eggs, meat and edible offal of poultry, machinery for preparing animal feeding stuffs, poultry incubators and brooders. HS Codes: 0105; 0407, 0408; 0207;0208,0209,0210,0410 00 000 0,0504 00 000 0,0505,0511,1501,1506 00 000 0,1516 10,1518 00,1601 00,1602, 1603 00,1902 20,1904 20,products from group 20, from 2104, from 2106, 4206 00 000 0, 0106; 508 10 000 0,0106,9705 00 000 0; 9508 10 000 0,0106; 2102, 2309, 2936, 3504, 3507, 3808, 3824; 3923,3926,4415 4416 00 000 0, 4421, 7020 00, 7309 00, 7310, 7326, 7616, 8436 10 000 0, 8436 21 000 0, 8436 29 000 0, 8436 80 900 0, 8606 91 800 0, 8609 00, 8716 39 800;",Pest- or Disease- free Regions / Regionalization; Animal diseases; Zoonoses; Food safety; Animal health; Human health; Avian Influenza; Modification of content/scope of regulation; Pest- or Disease- free Regions / Regionalization; Human health; Animal hea,G/SPS/N/RUS/188/Add.4
02 Dec 2024,U K,All Trading Partner,"Barley (0500010), Oat (0500050), Rye (0500070) and Sheep fat (1013020) - For reference, the full list of GB commodity codes is set out in Part 1 of the GB pesticides Maximum Residue Level Statutory Register â€“ see link",Human health; Food safety; Maximum residue limits (MRLs),G/SPS/N/GBR/73
28 Nov 2024,Taiwan,All Trading Partner,Chocolate and  cocoa powder,Human health; Food safety; Adoption/publication/entry into force of reg.; Heavy metals; Maximum residue limits (MRLs); Contaminants; Heavy metals; Food safety; Human health; Maximum residue limits (MRLs); Contaminants,G/SPS/N/TPKM/630/Add.1
28 Nov 2024,Indonesia,All Trading Partner,"Food packaging, processed food",Food safety; Human health; Packaging,G/SPS/N/IDN/152
28 Nov 2024,South Africa,All Trading Partner,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included (HS code(s): 04); Edible vegetables and certain roots and tubers (HS code(s): 07); Edible fruit and nuts; peel of citrus fruit or melons (HS code(s): 08); Cereals (HS code(s): 10); Products of the milling industry; malt; starches; inulin; wheat gluten (HS code(s): 11); Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder (HS code(s): 12); Beverages, spirits and vinegar (HS code(s): 22)",Human health; Food safety; Mycotoxins; Toxins,G/SPS/N/ZAF/88
27 Nov 2024,South Africa,All Trading Partner,"Meat and edible meat offal (HS code(s): 02); Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included (HS code(s): 04); Products of animal origin, not elsewhere specified or included (HS code(s): 05); Edible vegetables and certain roots and tubers (HS code(s): 07); Edible fruit and nuts; peel of citrus fruit or melons (HS code(s): 08); Coffee, tea, mate and spices (HS code(s): 09); Cereals (HS code(s): 10); Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder (HS code(s): 12); Vegetable plaiting materials; vegetable products not elsewhere specified or included (HS code(s): 14); Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes (HS code(s): 15); Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates (HS code(s): 16); Sugars and sugar confectionery (HS code(s): 17); Cocoa and cocoa preparations (HS code(s): 18); Preparations of cereals, flour, starch or milk; pastrycooks' products (HS code(s): 19); Preparations of vegetables, fruit, nuts or other parts of plants (HS code(s): 20); Miscellaneous edible preparations (HS code(s): 21); Beverages, spirits and vinegar (HS code(s): 22)",Human health; Food safety,G/SPS/N/ZAF/87
26 Nov 2024,Burundi,All Trading Partner,Other vegetables (HS code(s): 071080); Vegetables and derived products (ICS code(s): 67.080.20); Fresh cassava leaves,Human health; Food safety; Adoption/publication/entry into force of reg.; Food safety; Human health,G/SPS/N/BDI/9/Add.1
26 Nov 2024,Kenya,All Trading Partner,Other vegetables (HS code(s): 071080); Vegetables and derived products (ICS code(s): 67.080.20); Fresh cassava leaves,Food safety; Human health; Adoption/publication/entry into force of reg.; Food safety; Human health,G/SPS/N/BDI/9/Add.1
26 Nov 2024,Rwanda,All Trading Partner,"Semi-milled or wholly milled rice, whether or not polished or glazed (HS code(s): 100630); Cereals, pulses and derived products (ICS code(s): 67.060)",Food safety; Human health; Adoption/publication/entry into force of reg.; Food safety; Human health,G/SPS/N/BDI/34/Add.2
26 Nov 2024,Tanzania Rep,All Trading Partner,Other vegetables (HS code(s): 071080); Vegetables and derived products (ICS code(s): 67.080.20); Fresh cassava leaves,Food safety; Human health; Adoption/publication/entry into force of reg.; Food safety; Human health,G/SPS/N/BDI/9/Add.1
15 Nov 2024,Canada,All Trading Partner,"Pesticide spinosad in or on cranberries (ICS codes: 65.020, 65.100, 67.040, 67.080)",Human health; Food safety; Maximum residue limits (MRLs),G/SPS/N/CAN/1578
13 Nov 2024,Kenya,All Trading Partner,Edible vegetables and certain roots and tubers (HS code(s): 07); Food products in general (ICS code(s): 67.040),Food safety; Human health,G/SPS/N/KEN/311
13 Nov 2024,Kenya,All Trading Partner,Human health; Food safety,"Maize ""corn"" flour (HS code(s): 110220); Food products in general (ICS code(s): 67.040)",G/SPS/N/KEN/312
12 Nov 2024,Tanzania Rep,All Trading Partner,Meat and edible meat offal (HS code(s): 02); Food technology (ICS code(s): 67),Food safety; Human health,G/SPS/N/TZA/400
12 Nov 2024,Kenya,All Trading Partner,"Fresh, chilled, frozen or dried roots and tubers of manioc ""cassava"", whether or not sliced or in the form of pellets (HS code(s): 071410); Starch and derived products (ICS code(s): 67.180.20)",Human health; Food safety,G/SPS/N/KEN/310
12 Nov 2024,Tanzania Rep,All Trading Partner,Meat and edible meat offal (HS code(s): 02); Food technology (ICS code(s): 67),Human health; Food safety,G/SPS/N/TZA/401
12 Nov 2024,Tanzania Rep,All Trading Partner,Cocoa and cocoa preparations (HS code(s): 18); Cocoa (ICS code(s): 67.140.30),Human health; Food safety,G/SPS/N/TZA/398
12 Nov 2024,Tanzania Rep,All Trading Partner,Meat and edible meat offal (HS code(s): 02); Food technology (ICS code(s): 67),Human health; Food safety,G/SPS/N/TZA/399
12 Nov 2024,Tanzania Rep,All Trading Partner,"Cocoa beans, whole or broken, raw or roasted (HS code(s): 1801); Cocoa (ICS code(s): 67.140.30)",Food safety; Human health; Ochratoxin; Mycotoxins; Toxins,G/SPS/N/TZA/396
12 Nov 2024,Tanzania Rep,All Trading Partner,"Cocoa paste, wholly or partly defatted (HS code(s): 180320); Cocoa (ICS code(s): 67.140.30)",Food safety; Human health,G/SPS/N/TZA/397
08 Nov 2024,Japan,All Trading Partner,"Meat and edible meat offal (HS codes: 02.01, 02.02, 02.03, 02.04, 02.05, 02.06, 02.07, 02.08 and 02.09)Aquatic animals and crustaceans, molluscs and other aquatic invertebrates (HS codes: 03.02, 03.03, 03.04, 03.06, 03.07 and 03.08)Dairy produce, birds' eggs and natural honey (HS codes: 04.01, 04.07, 04.08 and 04.09)Animal originated products (HS code: 05.04)Edible vegetables and certain roots and tubers (HS codes: 07.01, 07.02, 07.03, 07.04, 07.05, 07.06, 07.07, 07.08, 07.09, 07.10, 07.13 and 07.14)Edible fruit and peel of citrus fruit (HS codes: 08.04, 08.05, 08.06, 08.08, 08.09, 08.10, 08.11 and 08.14)Mate and spices (HS codes: 09.03, 09.04, 09.05, 09.06, 09.07, 09.08, 09.09 and 09.10)Cereals (HS codes: 10.01, 10.02, 10.03, 10.04, 10.05, 10.06, 10.07 and 10.08)Oil seeds and oleaginous fruits, miscellaneous grains, seeds and fruit (HS codes: 12.01, 12.02, 12.07 and 12.12)Animal fats and oils (HS codes: 15.01, 15.02 and 15.06)",Maximum residue limits (MRLs); Food safety; Human health,G/SPS/N/JPN/1312
